ALF,AS,LRII,LRIC,Rho,CT,C,CRPa,CRPe,DLI,DLC,TRI,Failure
0.25974026,2.181818182,0.097149604,0.1943,0.0179,7,DE,0.072727273,0.072727273,1.694933333,1.694933333,0.367346939,Flexure
0.213997684,2.181818182,0.054206663,0.1084,0.0179,7,DE,0.069090909,0.069090909,1.694933333,1.694933333,0.334973085,Flexure
0.420020082,2.181818182,0.104867096,0.2097,0.0179,4,DE,0.072727273,0.072727273,1.694933333,1.694933333,0.422963952,Flexure
0.599964832,2.181818182,0.095495993,0.191,0.0179,4,DE,0.069090909,0.069090909,1.694933333,1.694933333,0.664159231,Flexure
0.38003178,4,0.090983051,0.182,0.0151,4,DE,0.06125,0.06125,1.569086651,1.569086651,0.613656174,Flexure
0.21,4,0.085888,0.1718,0.0151,4,DE,0.05625,0.05625,1.569086651,1.569086651,0.391111111,Flexure
0.1,4,0.048231029,0.0965,0.0151,7,DE,0.0325,0.0325,1.573991031,1.573991031,0.141824162,Flexure
0.3,4,0.050971429,0.1019,0.0151,7,DE,0.0325,0.0325,1.573991031,1.573991031,0.210989011,Flexure
0.3,4,0.050971429,0.1019,0.0151,7,DE,0.0325,0.0325,1.573991031,1.573991031,0.14,Flexure
0.3,4,0.056068571,0.1121,0.0151,7,DE,0.0325,0.0325,1.573991031,1.573991031,0.076732523,Flexure
0.223056537,4,0.078182736,0.1564,0.0151,4,DE,0.0325,0.0325,1.531818182,1.531818182,0.442321714,Flexure
0.389962594,4,0.055176345,0.1104,0.0151,4,DE,0.0325,0.0325,1.531818182,1.531818182,0.396988894,Flexure
0.5,4,0.058135192,0.1163,0.0151,7,DE,0.0325,0.0325,1.336075949,1.336075949,0.225309072,Flexure
0.5,4,0.059588571,0.1192,0.0151,7,DE,0.0325,0.0325,1.336075949,1.336075949,0.114321429,Flexure
0.7,4,0.05675102,0.1135,0.0151,7,DE,0.0325,0.0325,1.336075949,1.336075949,0.345714286,Flexure
0.7,4,0.061116484,0.1222,0.0151,7,DE,0.0325,0.0325,1.336075949,1.336075949,0.249167975,Flexure
0.7,4,0.059588571,0.1192,0.0151,7,DE,0.0325,0.0325,1.336075949,1.336075949,0.670153846,Flexure
0.199951172,4,0.072739955,0.2182,0.0157,6,DE,0.1,0.1,1.521097046,1.521097046,0.551902902,Flexure
0.199951172,4,0.072739955,0.2182,0.0157,6,DE,0.1,0.1,1.521097046,1.521097046,0.551902902,Flexure
0.199951172,4,0.072739955,0.2182,0.0157,9,DE,0.1,0.1,1.521097046,1.521097046,0.551902902,Flexure
0.199951172,4,0.072739955,0.2182,0.0157,6,DE,0.1,0.1,1.521097046,1.521097046,0.551902902,Flexure
0.1,3,0.066363636,0.1327,0.0125,6,C,0.072727273,0.072727273,1.320939335,1.320939335,0.303896104,Flexure
0.1,3,0.066363636,0.1327,0.0125,8,C,0.072727273,0.072727273,1.320939335,1.320939335,0.303896104,Flexure
0.299992276,3,0.066156896,0.1323,0.0125,6,C,0.072727273,0.072727273,1.320939335,1.320939335,0.370271473,Flexure
0.299992276,3,0.066156896,0.1323,0.0125,8,C,0.072727273,0.072727273,1.320939335,1.320939335,0.370271473,Flexure
0.100061958,2.973333333,0.09085077,0.212,0.0188,5,C,0.04,0.04,1.530092593,1.530092593,0.481067446,Flexure
0.170138889,1.5,0,0.2177,0.0127,2,DC,0.06,0.06,1.458221024,1.458221024,0.432600151,Shear
0.35,1.5,0,0.2239,0.0127,2,DC,0.06,0.06,1.458221024,1.458221024,0.778680272,Flexure-shear
0.032006048,4,0.051753384,0.1553,0.0142,2,C,0.07875,0.07875,1.472375691,1.472375691,0.166805876,Flexure
